,precision,recall,f1-score,support
Livres occasion,0.5422465208747514,0.5455,0.5438683948155534,2000.0
"Figurines, objets pop culture",0.8269230769230769,0.7095,0.763724434876211,2000.0
Cartes de jeux,0.8972407231208372,0.943,0.9195514383227694,2000.0
Figurines et jeux de rôles,0.7900943396226415,0.8375,0.8131067961165048,2000.0
Jouets enfant,0.584920030464585,0.384,0.46362813160277694,2000.0
Jeux société enfants,0.5253731343283582,0.44,0.47891156462585033,2000.0
Modélisme,0.7031019202363368,0.714,0.7085090548251054,2000.0
"Chaussettes bébés, petites photos",0.9319556451612904,0.9245,0.9282128514056225,2000.0
"Jeux de pleins air, Habits",0.6466861598440545,0.6635,0.6549851924975321,2000.0
"Puériculture, accessoire bébé",0.644915715062534,0.593,0.6178692367804116,2000.0
Mobilier général,0.5803134182174339,0.5925,0.5863433943592281,2000.0
Linge de maison,0.7921896792189679,0.852,0.8210069862683691,2000.0
Confiserie,0.8853974121996303,0.958,0.920268972142171,2000.0
Décoration,0.5477855477855478,0.5875,0.5669481302774427,2000.0
Animalerie,0.7809036658141517,0.916,0.8430740911182697,2000.0
Journaux et revues occasions,0.7128805620608899,0.761,0.7361547762998791,2000.0
"Livres, BD et magazines",0.6503531786074672,0.6445,0.6474133601205424,2000.0
Jeux vidéos occasion,0.8552465233881164,0.6765,0.7554438860971524,2000.0
Fournitures papeterie et accessoires bureau,0.7111344537815126,0.677,0.6936475409836066,2000.0
Mobilier de jardin,0.5225265017667845,0.5915,0.5548780487804879,2000.0
Piscine et accessoires,0.7683805862566074,0.7995,0.7836314628767459,2000.0
"Outillages de jardin, équipements extérieur et piscine",0.5369828666945257,0.6425,0.585021625312998,2000.0
Livres neufs,0.6507421150278293,0.7015,0.6751684311838306,2000.0
Jeux vidéos pour PC,0.8590604026845637,0.768,0.8109820485744457,2000.0
"Jeux videos, CDs, équipements, câbles, neufs",0.6116303219106958,0.589,0.6001018848700967,2000.0
Accessoires gaming,0.6786688488816148,0.622,0.6490999217323246,2000.0
Consoles de jeux,0.8467314487632509,0.9585,0.899155722326454,2000.0
accuracy,0.7071111111111111,0.7071111111111111,0.7071111111111111,0.7071111111111111
macro avg,0.7068290666184465,0.707111111111111,0.704470643673792,54000.0
weighted avg,0.7068290666184465,0.7071111111111111,0.7044706436737919,54000.0
