,precision,recall,f1-score,support
Livres occasion,0.40223097112860895,0.3065,0.347900113507378,2000.0
"Figurines, objets pop culture",0.5397973950795948,0.5595,0.5494721335624847,2000.0
Cartes de jeux,0.7217907720420284,0.79,0.7543566483647649,2000.0
Figurines et jeux de rôles,0.5372340425531915,0.303,0.3874680306905371,2000.0
Jouets enfant,0.36651982378854625,0.208,0.2653907496012759,2000.0
Jeux société enfants,0.3367983367983368,0.162,0.2187711006076975,2000.0
Modélisme,0.4169251218431546,0.4705,0.44209537232793045,2000.0
"Chaussettes bébés, petites photos",0.4875717017208413,0.6375,0.5525460455037919,2000.0
"Jeux de pleins air, Habits",0.33136593591905567,0.1965,0.24670433145009416,2000.0
"Puériculture, accessoire bébé",0.39652173913043476,0.342,0.367248322147651,2000.0
Mobilier général,0.46178343949044587,0.435,0.44799176107106076,2000.0
Linge de maison,0.6278470133218736,0.7305,0.6752946614282412,2000.0
Confiserie,0.5641389085754784,0.796,0.6603069265864786,2000.0
Décoration,0.37119113573407203,0.335,0.35216819973718794,2000.0
Animalerie,0.48812849162011174,0.3495,0.40734265734265734,2000.0
Journaux et revues occasions,0.4832874557609123,0.6145,0.5410521681708123,2000.0
"Livres, BD et magazines",0.47396963123644253,0.437,0.4547346514047867,2000.0
Jeux vidéos occasion,0.4830393487109905,0.534,0.5072429351697934,2000.0
Fournitures papeterie et accessoires bureau,0.4534617148097203,0.4945,0.4730925615881368,2000.0
Mobilier de jardin,0.3922363847045191,0.3385,0.3633923778851315,2000.0
Piscine et accessoires,0.43162020905923343,0.4955,0.4613594040968343,2000.0
"Outillages de jardin, équipements extérieur et piscine",0.2666029622551362,0.279,0.27266064011727337,2000.0
Livres neufs,0.44939812750780206,0.504,0.4751355173226491,2000.0
Jeux vidéos pour PC,0.44485294117647056,0.6655,0.5332532051282052,2000.0
"Jeux videos, CDs, équipements, câbles, neufs",0.34395198522622344,0.3725,0.35765722515602494,2000.0
Accessoires gaming,0.36507009345794394,0.3125,0.33674568965517243,2000.0
Consoles de jeux,0.5636736087401844,0.8255,0.6699127612091702,2000.0
accuracy,0.46275925925925926,0.46275925925925926,0.46275925925925926,0.46275925925925926
macro avg,0.45188923301449463,0.4627592592592592,0.448936895956786,54000.0
weighted avg,0.4518892330144946,0.46275925925925926,0.448936895956786,54000.0
